Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
rraA	rraAp	4119358	RNA polymerase sigma factor RpoS	rraA	4118845	4119330	-	rraA
dnaN-recF	dnaNp1	3882733	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	recF // dnaN	3880148 // 3881221	3881221 // 3882321	-	dnaN-recF
ihfB	ihfBp	963749	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	ihfB	963828	964112	+	ihfB // OP00241 // himD
gadBC	gadBp	1572072	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	gadC // gadB	1568954 // 1570645	1570489 // 1572045	-	gadBC
poxB	poxBp1	911076	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	poxB	909331	911049	-	poxB
yciT	yciTp	1344510	RNA polymerase sigma factor RpoS	yciT	1343597	1344346	-	yciT
kbp	kbpp4	2796814	RNA polymerase sigma factor RpoS	kbp	2796337	2796786	-	kbp
msyB	msyBp	1114213	RNA polymerase sigma factor RpoS	msyB	1113807	1114181	-	msyB
btsT	yjiYp	4591367	RNA polymerase sigma factor RpoS	btsT	4589129	4591279	-	btsT // yjiY
sodC	sodCp	1724679	RNA polymerase sigma factor RpoS	sodC	1724134	1724655	-	sodC
ecnB	ecnBp	4376509	RNA polymerase sigma factor RpoS	ecnB	4376553	4376699	+	ecnB
rssAB	rssAp	1289106	RNA polymerase sigma factor RpoS	rssB // rssA	1290242 // 1289245	1291255 // 1290150	+	rssAB
osmF-yehYXW	osmFp1	2219523	RNA polymerase sigma factor RpoS	yehW // yehX // yehY // osmF	2215745 // 2216481 // 2217400 // 2218564	2216476 // 2217407 // 2218557 // 2219481	-	osmF-yehYXW // yehZYXW
fadL	fadLp	2461205	RNA polymerase sigma factor RpoS	fadL	2461306	2462646	+	fadL // OP00109
yhjG	yhjGp	3678412	RNA polymerase sigma factor RpoS	yhjG	3676290	3678350	-	yhjG
puuDRCBE	puuDp	1361052	RNA polymerase sigma factor RpoS	puuE // puuB // puuC // puuR // puuD	1365550 // 1364232 // 1362743 // 1361911 // 1361120	1366815 // 1365512 // 1364230 // 1362468 // 1361884	+	puuDRCBE
ssrS	ssrSp2	3055759	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	ssrS	3055983	3056165	+	ssrS
gadXW	gadXp	3665839	RNA polymerase sigma factor RpoS	gadW // gadX	3663890 // 3664986	3664618 // 3665810	-	gadXW
ftsQAZ	ftsQp1	102867	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	ftsQ // ftsA // ftsZ	103155 // 103982 // 105305	103985 // 105244 // 106456	+	ftsQAZ // OP00295
ppk-ppx	ppkp	2622977	RNA polymerase sigma factor RpoS	ppx // ppk	2625115 // 2623044	2626656 // 2625110	+	ppk-ppx
acnA	acnAp1	1335424	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	ymiC // acnA	1335572 // 1335831	1335667 // 1338506	+	acnA
oxyR	oxyRp	4158457	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	oxyR	4158490	4159407	+	oxyR // OP00067
glgCAP	glgCp3	3569571	RNA polymerase sigma factor RpoS	glgP // glgA // glgC	3564134 // 3566600 // 3568033	3566581 // 3568033 // 3569328	-	glgCAP // glgC // glgCAY
astCADBE	astCp3	1832039	RNA polymerase sigma factor RpoS	astE // astB // astD // astA // astC	1825955 // 1826916 // 1828256 // 1829731 // 1830762	1826923 // 1828259 // 1829734 // 1830765 // 1831982	-	astCADBE
yciGFE	yciGp	1316092	RNA polymerase sigma factor RpoS	yciE // yciF // yciG	1314718 // 1315270 // 1315856	1315224 // 1315770 // 1316035	-	yciGFE
tktB	tktBp	2579308	RNA polymerase sigma factor RpoS	tktB	2579636	2581639	+	tktB
glgS	glgSp1	3192012	RNA polymerase sigma factor RpoS	glgS	3191739	3191939	-	glgS
yggE	yggEp2	3068185	RNA polymerase sigma factor RpoS	yggE	3067340	3068080	-	yggE
pykF	pykFp2	1755600	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	pykF	1755698	1757110	+	pykF
ycgZ-ymgA-ariR-ymgC	ycgZp	1215752	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	ymgC // ariR // ymgA // ycgZ	1216748 // 1216369 // 1216068 // 1215789	1216996 // 1216635 // 1216340 // 1216025	+	ycgZ-ymgA-ariR-ymgC
tolC-ygiBC	tolCp4	3178074	RNA polymerase sigma factor RpoS	ygiC // ygiB // tolC	3180421 // 3179744 // 3178115	3181581 // 3180415 // 3179596	+	tolC-ygiBC
sucABCD-sdhX	sucAp	758586	RNA polymerase sigma factor RpoS	sdhX // sucA // sucB // sucC // sucD	765050 // 758706 // 761522 // 763014 // 764180	765150 // 761507 // 762739 // 764180 // 765049	+	sucABCD-sdhX // OP00143 // suc
cpxRA	cpxRp	4105686	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	cpxA // cpxR	4103602 // 4104972	4104975 // 4105670	-	cpxRA
katE	katEp	1813814	RNA polymerase sigma factor RpoS	katE	1813867	1816128	+	katE
hchA	hchAp2	2035630	RNA polymerase sigma factor RpoS	hchA	2035835	2036686	+	hchA
sra	srap	1556046	RNA polymerase sigma factor RpoS	sra	1555826	1555963	-	sra
cfa	cfap2	1741379	RNA polymerase sigma factor RpoS	cfa	1741413	1742561	+	cfa // cdfA
ydbD	ydbDp	1475066	RNA polymerase sigma factor RpoS	ydbD	1475144	1477450	+	ydbD
hdeAB-yhiD	hdeAp	3656791	RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	yhiD // hdeB // hdeA	3655255 // 3655966 // 3656408	3655902 // 3656292 // 3656740	-	hdeAB-yhiD
ydhYVWXUT	ydhYp	1754642	RNA polymerase sigma factor RpoS	ydhT // ydhU // ydhX // ydhW // ydhV // ydhY	1748747 // 1749563 // 1750345 // 1751077 // 1751728 // 1753851	1749559 // 1750348 // 1751013 // 1751724 // 1753830 // 1754477	-	ydhYVWXUT
osmB	osmBp1	1343476	RNA polymerase sigma factor RpoS	osmB	1343110	1343328	-	osmB
gabDTP	gabDp2	2790912	RNA polymerase sigma factor RpoS	gabP // gabT // gabD	2794253 // 2792735 // 2791273	2795653 // 2794015 // 2792721	+	gabDTP
wrbA-yccJ	wrbAp	1067758	RNA polymerase sigma factor RpoS	wrbA // yccJ	1067112 // 1066864	1067708 // 1067091	-	wrbA-yccJ
aldB	aldBp	3756535	RNA polymerase sigma factor RpoS	aldB	3754973	3756511	-	aldB // OP00186
ybgA-phr	ybgAp1	738980	RNA polymerase sigma factor RpoS	phr // ybgA	739507 // 739001	740925 // 739510	+	ybgA-phr // ybgA-phrB // orf169-phr
mdtABCD-baeSR	mdtAp	2153979	RNA polymerase sigma factor RpoS	baeR // baeS // mdtD // mdtC // mdtB // mdtA	2164276 // 2162876 // 2161464 // 2158386 // 2155263 // 2154016	2164998 // 2164279 // 2162879 // 2161463 // 2158385 // 2155263	+	mdtABCD-baeSR
ddpXABCDF	ddpXp2	1563201	RNA polymerase sigma factor RpoS	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	1557112 // 1558031 // 1559014 // 1559907 // 1560931 // 1562495	1558038 // 1559017 // 1559910 // 1560929 // 1562481 // 1563076	-	ddpXABCDF
ytfK	ytfKp1	4439511	RNA polymerase sigma factor RpoS	ytfK	4439587	4439793	+	ytfK
